u,g,r,i,z
18.87795,17.38308,16.61531,16.14276,15.77188
21.622629999999997,19.00489,17.72508,17.434420000000003,17.01591
19.60987,17.82515,16.90492,16.440929999999998,16.13031
19.86673,18.185670000000002,17.417270000000002,17.05799,16.77261
18.20461,16.59096,15.806560000000001,15.42365,15.11246
18.11684,16.56514,15.739670000000002,15.292370000000002,14.97511
20.129620000000003,18.44545,17.59198,17.09899,16.755129999999998
19.8209,17.660510000000002,16.62154,16.18197,15.824720000000001
20.49701,18.758329999999997,17.72961,17.2349,16.83434
19.47341,17.46547,16.425910000000002,15.959520000000001,15.57761
19.49244,17.83323,16.89583,16.42598,16.086779999999997
19.44953,17.82238,17.13371,16.70488,16.43259
21.00306,19.01425,17.81685,17.32266,16.95301
18.03148,16.12943,15.2968,14.90944,14.626479999999999
20.21787,18.21895,17.127760000000002,16.661929999999998,16.28446
20.10389,18.5861,17.74353,17.285420000000002,17.04591
20.67866,18.47757,17.459039999999998,16.92436,16.51691
20.65176,18.726689999999998,17.48505,16.9755,16.59025
19.70535,18.239420000000003,17.40956,16.98088,16.69109
19.61455,17.6572,16.64392,16.139979999999998,15.76595
20.84309,18.97123,17.79445,17.32882,16.94656
19.33108,17.56802,16.65471,16.21508,15.8469
20.51689,18.79205,17.719929999999998,17.23084,16.82836
20.909010000000002,19.01517,17.7544,17.25346,16.90579
20.1201,18.41474,17.56808,17.093770000000003,16.73224
16.51495,14.68004,13.840679999999999,13.41985,13.090060000000001
20.2442,18.546310000000002,17.71285,17.32894,17.01848
20.646929999999998,18.85924,17.88806,17.32035,16.91065
18.50924,17.32571,16.77444,16.433529999999998,16.19321
20.687620000000003,18.69042,17.54831,17.0437,16.70315
18.786170000000002,17.70465,17.31079,17.112460000000002,16.92673
20.984679999999997,19.00677,17.678539999999998,17.14769,16.751260000000002
19.18487,17.60098,16.72928,16.26665,15.89405
20.4821,18.4145,17.23339,16.71624,16.32266
19.35304,17.872510000000002,17.19807,16.83035,16.58211
19.355610000000002,18.20332,17.67729,17.36187,17.13304
19.75838,17.70854,16.63459,16.107870000000002,15.71609
20.74209,18.726110000000002,17.6865,17.21128,16.82924
19.2217,18.06295,17.69578,17.46941,17.38278
18.972360000000002,17.89425,17.5362,17.27085,17.18093
20.82133,18.85485,17.71341,17.27009,16.91239
18.503120000000003,16.87881,15.947189999999999,15.46375,15.13734
19.33486,17.675420000000003,16.89369,16.48659,16.16619
19.86141,18.63847,17.65233,17.23443,16.929370000000002
17.255979999999997,15.34355,14.46744,14.048820000000001,13.71744
19.24054,17.35766,16.36876,15.907589999999999,15.52483
19.20624,17.44996,16.64347,16.22953,15.93859
20.8754,18.793770000000002,17.472579999999997,16.95316,16.62821
20.33391,18.64196,17.7054,17.31525,16.99311
19.53719,18.061020000000003,17.3438,16.93732,16.59269
19.21019,18.10165,17.5407,17.17918,16.99156
20.662689999999998,18.94913,17.293779999999998,16.694010000000002,16.30351
19.30663,17.39883,16.53238,16.118170000000003,15.815920000000002
21.451729999999998,19.18763,18.01925,17.53858,17.11303
19.89418,18.335079999999998,17.62676,17.259420000000002,17.027929999999998
20.79109,18.979789999999998,17.73234,17.2041,16.81429
19.74969,17.771910000000002,16.77918,16.30558,15.94104
18.6911,17.54543,17.121229999999997,16.8558,16.68102
18.79316,16.811989999999998,15.866929999999998,15.39753,15.02125
20.09533,18.49597,17.51418,17.07433,16.81813
19.3199,18.1329,17.50376,17.08923,16.86252
21.181810000000002,18.944979999999997,17.78862,17.245620000000002,16.88286
20.05157,18.7542,17.91021,17.50514,17.19518
20.27347,18.76578,17.53854,16.976,16.56344
19.54054,17.500989999999998,16.46423,16.00618,15.59555
20.90621,18.86424,17.644579999999998,17.09897,16.7734
20.31271,18.18254,17.014570000000003,16.55144,16.1935
18.09078,16.64955,15.936589999999999,15.538039999999999,15.27883
19.44355,18.09311,17.386029999999998,17.01045,16.76691
20.58963,18.67502,17.75086,17.32862,16.99693
21.11161,19.05379,17.63812,17.09649,16.71943
20.59583,18.810579999999998,17.74519,17.25911,16.89783
19.389210000000002,17.54233,16.666629999999998,16.17884,15.81613
19.73282,18.19951,17.274729999999998,16.8008,16.45704
20.24951,18.45148,17.53714,17.11854,16.807270000000003
20.69504,18.72737,17.69453,17.22781,16.821579999999997
19.21247,18.0579,17.4274,17.0599,16.84374
19.104670000000002,17.200229999999998,16.22186,15.813070000000002,15.478860000000001
20.23113,18.24438,17.270129999999998,16.82345,16.48525
19.13215,17.18261,16.08934,15.63664,15.29217
19.26184,17.837139999999998,17.04448,16.63,16.30685
17.60112,15.96491,15.21676,14.813939999999999,14.504920000000002
21.615389999999998,18.63251,17.57253,17.19344,16.6822
20.4831,18.40095,17.402479999999997,16.96787,16.579279999999997
18.12814,16.82386,16.239810000000002,15.92712,15.711910000000001
20.22004,17.98894,16.83191,16.35079,15.98099
18.72656,17.71161,17.312079999999998,16.90954,16.717589999999998
20.208660000000002,18.455070000000003,17.588829999999998,17.1657,16.825670000000002
18.13133,16.66191,15.8558,15.451789999999999,15.172939999999999
19.67124,17.744870000000002,16.81719,16.38809,15.999020000000002
18.29859,16.84864,16.13811,15.740960000000001,15.49594
20.64154,18.765929999999997,17.73578,17.30084,16.900879999999997
19.082079999999998,17.154729999999997,16.19555,15.77251,15.38393
18.2288,16.21622,15.37125,14.92138,14.64013
19.23742,18.011129999999998,17.3642,17.04022,16.77838
21.22445,19.383670000000002,17.88881,17.29564,16.90961
19.62646,17.61381,16.677970000000002,16.23292,15.88153
20.15331,18.40655,17.3315,16.86148,16.470879999999998
20.783479999999997,18.4699,17.53783,17.0954,16.75538
20.17275,18.115370000000002,17.123829999999998,16.60835,16.238310000000002
21.3475,19.09864,17.664089999999998,17.11151,16.749229999999997
19.834770000000002,18.4947,17.8593,17.42634,17.206879999999998
20.36696,18.35656,17.323729999999998,16.781979999999997,16.325129999999998
19.44364,17.95182,17.07378,16.64507,16.299329999999998
19.18405,17.8499,17.14347,16.74406,16.45508
19.47017,18.04218,17.27636,16.8149,16.51276
18.54651,16.997529999999998,16.27993,15.823170000000001,15.484470000000002
20.38617,18.50086,17.57922,17.117079999999998,16.74595
19.78613,18.47175,17.88079,17.54472,17.3
18.40531,16.775560000000002,15.927029999999998,15.45534,15.14688
18.33653,16.95434,16.41395,16.11969,16.04341
19.80088,18.61055,17.86669,17.49586,17.21856
21.15633,19.09205,17.61893,17.06796,16.69206
18.75274,17.107770000000002,16.23997,15.74715,15.40306
20.00411,18.25054,17.06931,16.58034,16.24493
19.45155,17.84165,17.0104,16.53152,16.182679999999998
21.02952,18.54383,17.53201,17.031010000000002,16.71414
19.989620000000002,18.238870000000002,17.38469,16.921770000000002,16.61797
16.14821,14.731620000000001,14.03915,13.64454,13.357429999999999
20.05365,18.76928,17.81855,17.34405,17.02166
20.4445,18.81604,17.56975,17.085720000000002,16.7152
19.79795,17.63674,16.84161,16.395870000000002,15.99151
19.96164,18.05044,17.11124,16.58209,16.1591
20.06374,18.640520000000002,17.413339999999998,16.87419,16.47233
19.9316,18.55849,17.74009,17.29672,16.97792
17.32599,15.29915,14.30365,13.83097,13.472610000000001
20.65943,18.72459,17.7465,17.32474,16.958820000000003
19.94506,18.114160000000002,16.97038,16.40474,15.97829
20.63491,19.323629999999998,18.06351,17.49275,17.10492
20.218339999999998,18.66197,17.537129999999998,16.99674,16.632279999999998
20.39535,19.0323,17.89227,17.34058,17.04649
20.71988,18.62913,17.4836,17.01435,16.61664
18.497329999999998,17.34534,16.98665,16.75275,16.70508
18.646929999999998,17.28504,16.66968,16.28589,16.03115
23.1965,21.390620000000002,20.04524,20.231460000000002,19.06655
20.84892,18.76967,17.75477,17.3158,16.978289999999998
18.63983,17.71,17.26501,16.96116,16.81841
18.87643,17.14368,16.26578,15.85624,15.558279999999998
19.0224,17.11465,16.205170000000003,15.80875,15.4927
20.30431,18.52069,17.58064,17.1321,16.86557
20.40558,18.68103,17.85511,17.52175,17.237370000000002
17.9757,16.24251,15.451939999999999,15.059479999999999,14.76495
18.03094,16.823970000000003,16.34461,16.09453,15.91385
18.545560000000002,17.00999,16.29244,15.911220000000002,15.604220000000002
19.561410000000002,17.706889999999998,16.89859,16.5445,16.27681
19.79897,18.1448,17.276970000000002,16.773629999999997,16.42785
16.959570000000003,15.59975,15.16637,14.952829999999999,14.898320000000002
20.81922,18.9328,17.490170000000003,16.93644,16.63351
20.08367,18.30402,17.4339,17.056079999999998,16.76944
19.28784,18.329929999999997,17.84328,17.48551,17.371660000000002
17.521060000000002,15.94459,15.26176,14.897470000000002,14.69496
18.62055,17.29226,16.64891,16.28254,16.05217
19.444860000000002,17.9895,17.57068,17.30575,17.224239999999998
19.56524,18.439220000000002,17.57266,17.12611,16.87908
18.889470000000003,17.493170000000003,16.92829,16.64268,16.46235
17.74994,16.69774,16.422710000000002,16.2733,16.17761
19.45495,17.6763,16.822110000000002,16.4195,16.09468
18.59995,16.71636,15.79391,15.33639,14.998610000000001
20.30728,18.61515,17.58517,17.1291,16.84978
19.58812,18.413079999999997,17.6232,17.17847,16.815179999999998
19.81025,18.51438,17.48198,16.93831,16.56666
19.03199,17.83894,17.259420000000002,16.97039,16.7194
20.87846,18.927329999999998,17.60889,17.099339999999998,16.6757
18.98323,17.82311,17.38573,17.113570000000003,16.88637
18.93294,17.76008,17.04174,16.6246,16.38229
20.21673,18.33681,17.315,16.84305,16.48724
19.27044,17.992910000000002,17.226679999999998,16.844160000000002,16.56261
21.18684,19.10738,17.66902,17.1236,16.73386
21.25741,18.89953,17.52005,16.98937,16.633
18.929370000000002,17.69761,16.97327,16.60975,16.3396
19.64424,17.504170000000002,16.32442,15.853320000000002,15.47606
19.69683,18.06341,17.23392,16.761570000000003,16.4658
21.09125,18.80035,17.60527,17.14198,16.802529999999997
19.594839999999998,18.22985,17.434,17.04627,16.78148
19.043860000000002,17.01526,16.06948,15.6316,15.32944
17.77188,16.62769,16.19355,15.91112,15.714039999999999
20.89109,18.46967,17.20872,16.72569,16.34681
20.39461,18.435129999999997,17.52825,17.12142,16.790789999999998
20.70038,18.712229999999998,17.71856,17.29936,16.98323
18.621489999999998,17.32956,16.7822,16.45177,16.22465
18.947570000000002,17.68773,17.12999,16.86047,16.7183
18.87298,17.69631,17.28562,17.02832,16.87172
19.1883,18.1137,17.83437,17.66224,17.74471
18.28932,16.87189,16.17304,15.79471,15.55693
19.30176,18.10175,17.586679999999998,17.29743,17.1849
20.31883,18.200129999999998,17.18131,16.77318,16.40108
18.54414,17.65321,17.45348,17.252470000000002,17.15438
19.25714,17.797179999999997,16.97061,16.545289999999998,16.31515
17.93786,16.54554,15.869710000000001,15.442479999999998,15.18949
20.31328,18.147270000000002,16.85572,16.36182,16.01529
19.68423,17.93233,17.10566,16.73836,16.44258
19.2135,17.44519,16.63916,16.267120000000002,15.9764
20.74471,18.87519,17.67221,17.18071,16.847620000000003
19.66988,18.464370000000002,17.726589999999998,17.35257,17.127010000000002
19.262620000000002,17.81735,16.94689,16.51649,16.167479999999998
19.628439999999998,17.70895,16.9435,16.536360000000002,16.262610000000002
19.14834,18.06492,17.58352,17.25115,17.076420000000002
18.98965,17.75999,17.18652,16.84929,16.64335
19.88384,18.12225,17.1709,16.71486,16.34808
20.03204,18.564220000000002,17.850920000000002,17.42075,17.227120000000003
20.677529999999997,18.95808,17.80435,17.24428,16.88435
20.3545,18.78267,17.84941,17.4282,17.05089
17.9085,16.50038,15.76931,15.375179999999999,15.07956
20.070429999999998,18.1584,17.153660000000002,16.710379999999997,16.42521
19.18534,18.02554,17.57249,17.29786,17.128989999999998
19.60143,17.88897,17.008129999999998,16.577379999999998,16.27159
19.6242,17.84921,16.858810000000002,16.35353,15.989120000000002
20.088729999999998,18.173560000000002,17.10824,16.65778,16.2729
19.97801,18.3807,17.76386,17.38102,17.2121
20.048389999999998,18.50443,17.692610000000002,17.31174,17.06837
18.75845,16.681639999999998,15.71146,15.25035,14.9102
20.18856,18.79291,17.80505,17.351570000000002,17.05105
20.46871,18.693089999999998,17.69205,17.2954,16.98571
19.285989999999998,18.12194,17.48844,17.07589,16.803829999999998
17.57317,16.10772,15.54476,15.213379999999999,15.02131
18.24963,17.119,16.474320000000002,16.06476,15.78827
20.36086,18.25844,17.10503,16.60705,16.22079
20.097260000000002,18.53762,17.88025,17.5566,17.36086
19.46126,17.583879999999997,16.686970000000002,16.25038,15.92508
19.672179999999997,18.46485,17.81559,17.3854,17.11184
19.712220000000002,18.33545,17.61478,17.2173,16.88485
19.79828,18.47026,17.758020000000002,17.32846,17.05621
20.47503,18.57915,17.35504,16.88778,16.56071
18.66146,17.47565,16.843329999999998,16.44699,16.24354
20.087220000000002,18.43863,17.52299,17.03347,16.6548
20.56381,18.40769,17.27082,16.81345,16.457420000000003
20.393810000000002,18.7143,17.63628,17.12491,16.76461
19.40395,18.18443,17.55559,17.21634,16.999979999999997
20.28305,18.59871,17.67096,17.24376,17.00937
20.83974,18.7115,17.52459,17.05858,16.70082
20.10986,18.08622,17.01829,16.556079999999998,16.20982
20.47673,18.941,17.732779999999998,17.2452,16.902060000000002
20.928160000000002,18.8785,17.62953,17.155170000000002,16.83868
19.416439999999998,18.27863,17.70307,17.28959,17.111639999999998
19.823179999999997,18.258129999999998,17.32682,16.88,16.557479999999998
18.98452,17.666970000000003,17.029529999999998,16.67021,16.415429999999997
19.19182,17.70741,16.90183,16.511589999999998,16.188860000000002
19.57121,17.73803,16.72488,16.28186,15.960360000000001
19.62037,17.819470000000003,16.81704,16.325110000000002,15.973279999999999
20.46109,18.32956,17.28514,16.7929,16.38782
17.97379,15.98768,15.100929999999998,14.698670000000002,14.385520000000001
20.65982,18.488889999999998,17.37795,16.95252,16.67057
20.45424,18.62276,17.62848,17.16425,16.82414
19.4263,18.34337,17.68844,17.27519,17.097939999999998
18.71805,17.24073,16.57443,16.20755,15.944770000000002
19.657339999999998,18.042,17.18496,16.7773,16.45486
20.61372,18.580470000000002,17.56387,17.1206,16.77075
18.41749,16.55471,15.73954,15.34165,15.039000000000001
20.67118,18.65786,17.3735,16.88021,16.48836
18.69707,17.20104,16.3674,15.969660000000001,15.649170000000002
19.792720000000003,17.80754,16.77736,16.33507,15.9444
19.753970000000002,17.647679999999998,16.69906,16.215329999999998,15.82509
19.32759,17.281470000000002,16.38131,15.95881,15.606160000000001
20.011770000000002,18.75682,17.68905,17.31479,16.95441
20.89591,18.63808,17.42472,16.97384,16.67846
19.69047,18.39518,17.71675,17.23861,16.97608
19.81695,17.88786,17.00639,16.59289,16.28282
20.938879999999997,18.7026,17.642039999999998,17.32273,16.83641
20.82401,18.69303,17.58344,17.120639999999998,16.79
21.21574,18.60432,17.19675,16.66496,16.333679999999998
20.32637,18.384320000000002,17.45436,17.034860000000002,16.742729999999998
20.9356,18.83142,17.49781,16.948420000000002,16.6068
18.97869,17.14655,16.35993,15.96905,15.64163
18.52272,16.82884,16.111539999999998,15.752989999999999,15.48949
20.65758,18.50349,17.21248,16.71104,16.34765
19.7493,18.25449,17.474829999999997,17.08175,16.751379999999997
18.34229,17.15972,16.64058,16.30881,16.14249
19.82375,17.90935,16.85066,16.35996,16.06167
18.68338,17.158479999999997,16.32613,15.902439999999999,15.594289999999999
20.21097,18.79415,17.92213,17.43883,17.07574
20.31452,18.34999,17.25713,16.77682,16.429560000000002
17.36385,16.223860000000002,15.730739999999999,15.470310000000001,15.29827
20.24525,18.58239,17.42853,16.93769,16.66248
18.80273,16.758770000000002,15.763779999999999,15.337629999999999,14.96595
18.65571,16.9315,16.122220000000002,15.74337,15.4689
19.427789999999998,17.84766,16.94659,16.50694,16.19605
16.89537,15.2407,14.49528,14.106110000000001,13.79491
20.28813,18.56802,17.489,17.00606,16.66165
19.30415,17.52444,16.66241,16.273320000000002,15.972000000000001
20.71089,18.75646,17.61351,17.13736,16.78664
19.08695,17.89131,17.3849,17.037860000000002,16.83217
19.595879999999998,17.99619,17.23265,16.77358,16.4788
20.64426,18.66106,17.63879,17.19452,16.84447
19.1485,18.026229999999998,17.330270000000002,16.97448,16.7255
18.77582,17.16199,16.30958,15.9181,15.58755
19.32965,18.022579999999998,17.25988,16.86717,16.54741
19.06915,17.56012,16.749470000000002,16.32072,15.978270000000002
18.53848,17.55149,17.22215,16.99341,16.91883
20.98103,18.56503,17.43522,17.02024,16.73907
19.61958,18.18095,17.351129999999998,16.939529999999998,16.69633
19.86194,18.28669,17.35775,16.87781,16.50029
19.38681,17.78656,16.99213,16.54245,16.21423
18.87305,17.63607,17.131220000000003,16.81394,16.6392
20.94652,18.824170000000002,17.61409,17.136329999999997,16.76513
20.78914,18.577170000000002,17.45083,16.97484,16.582929999999998
18.44114,16.48404,15.60847,15.19263,14.859379999999998
20.028879999999997,18.23965,16.954,16.45739,16.058870000000002
20.54973,18.39926,17.25864,16.8287,16.4592
18.96655,17.26759,16.46104,16.00631,15.66955
18.656489999999998,17.66722,17.30307,17.01756,16.89172
18.76578,17.79018,17.397470000000002,17.10221,17.07787
20.34623,18.46941,17.3467,16.83628,16.41718
19.49214,18.33311,17.85687,17.54823,17.373379999999997
19.06383,17.04354,16.10581,15.653360000000001,15.302010000000001
18.44427,17.07715,16.54139,16.260939999999998,16.09173
19.668960000000002,17.79779,16.747429999999998,16.302020000000002,15.943929999999998
19.29697,17.94726,17.22719,16.82459,16.5335
19.24634,17.40768,16.46939,16.04038,15.685889999999999
19.96785,17.994510000000002,17.08267,16.68916,16.39949
18.049970000000002,16.231939999999998,15.354729999999998,14.95239,14.65495
19.880110000000002,18.55894,17.53772,17.08697,16.81503
20.11598,17.909570000000002,16.68371,16.14397,15.74855
19.370929999999998,17.37511,16.35686,15.92435,15.59515
19.01343,17.73114,17.10142,16.670820000000003,16.42199
19.175929999999997,17.78132,17.02637,16.67079,16.374879999999997
20.50649,18.70327,17.65091,17.207060000000002,16.855539999999998
19.92699,18.486629999999998,17.684379999999997,17.253439999999998,16.95259
20.06521,18.536929999999998,17.67734,17.272370000000002,16.99275
20.14017,18.72286,17.72125,17.217489999999998,16.89828
20.10736,18.93497,17.665329999999997,17.19354,16.852970000000003
18.94305,17.20201,16.2112,15.733039999999999,15.39691
20.14415,18.30601,17.31547,16.85162,16.437720000000002
20.414839999999998,18.67841,17.481679999999997,16.9925,16.65009
19.276429999999998,18.13194,17.45849,17.053810000000002,16.81279
18.43375,17.5076,17.04255,16.663520000000002,16.499679999999998
17.12782,15.219970000000002,14.350829999999998,13.883729999999998,13.529470000000002
19.9157,18.16609,17.39077,17.025470000000002,16.72211
20.748720000000002,18.97893,17.672729999999998,17.191679999999998,16.76815
20.46011,18.7413,17.89239,17.37702,17.02978
19.9692,18.41469,17.716739999999998,17.3476,17.11526
18.31263,17.13714,16.67274,16.4247,16.22697
19.82882,18.5546,17.7607,17.35011,17.06713
17.25287,16.18885,15.70473,15.380270000000001,15.21096
19.707320000000003,18.02409,17.210279999999997,16.837220000000002,16.63029
18.097720000000002,16.78334,16.16006,15.846620000000001,15.61409
20.124579999999998,18.24943,17.14011,16.59286,16.08814
20.08775,18.67985,17.76185,17.22464,17.018829999999998
18.8001,17.77946,17.212329999999998,16.81767,16.62515
19.041179999999997,17.55074,16.73537,16.32638,16.01054
18.06409,16.51821,15.72246,15.27079,14.95181
20.4351,18.62033,17.65834,17.18974,16.84948
19.286929999999998,18.130229999999997,17.33183,16.92306,16.69924
17.58788,16.102510000000002,15.40505,15.037270000000001,14.79265
18.544520000000002,16.68846,15.794179999999999,15.38848,15.09094
20.242739999999998,18.49612,17.33846,16.908479999999997,16.526870000000002
20.52361,18.64476,17.62346,17.15829,16.78349
19.15672,17.81126,17.1699,16.78612,16.51709
19.116529999999997,17.98316,17.40265,17.03933,16.8348
16.77551,15.525520000000002,14.960529999999999,14.62186,14.457270000000001
18.92,17.552139999999998,16.47039,16.08981,15.702879999999999
20.36514,18.56983,17.59885,17.177429999999998,16.86805
19.712410000000002,17.98713,17.03799,16.617639999999998,16.25563
17.30505,15.44258,14.56845,14.14891,13.8767
20.628989999999998,18.57842,17.4314,16.969520000000003,16.5692
20.64232,18.61265,17.557779999999998,17.13027,16.78868
19.339129999999997,18.124660000000002,17.457620000000002,17.03432,16.768929999999997
20.59372,18.89984,17.66011,17.1409,16.79316
19.71055,18.31125,17.75974,17.437070000000002,17.229879999999998
19.06234,17.81824,17.118029999999997,16.72618,16.47346
19.14895,18.01582,17.4856,17.117639999999998,16.85706
19.70156,17.724120000000003,16.84299,16.44143,16.136979999999998
19.875529999999998,18.30834,17.41913,16.96898,16.6557
20.00147,18.35216,17.35104,16.93909,16.593239999999998
20.49466,18.68176,17.430139999999998,16.94284,16.58557
19.20325,17.20056,16.26622,15.82262,15.490160000000001
18.63861,16.62671,15.631910000000001,15.217120000000001,14.88841
20.771379999999997,18.737560000000002,17.34858,16.773139999999998,16.3651
21.33426,19.09816,17.68096,17.15669,16.7893
20.11654,18.17381,17.13277,16.71181,16.355439999999998
17.35114,16.05728,15.406179999999999,15.06512,14.77
18.11508,16.52546,15.865129999999999,15.46538,15.191020000000002
22.28076,19.72129,18.595579999999998,18.09974,17.708460000000002
20.589029999999998,18.54165,17.41157,16.950470000000003,16.6303
20.6858,18.677210000000002,17.61044,17.06159,16.66592
20.45663,18.39911,17.41445,16.985570000000003,16.63222
19.58847,18.31374,17.554920000000003,17.152929999999998,16.87019
20.034010000000002,18.57919,17.9594,17.531579999999998,17.260189999999998
19.09655,17.37947,16.64112,16.161379999999998,15.84779
19.54932,17.44775,16.49181,16.05742,15.707270000000001
18.05694,16.4736,15.6467,15.20881,14.8555
19.62696,17.743660000000002,16.78779,16.37633,16.0492
20.57205,18.62681,17.57264,17.12084,16.767229999999998
19.70264,17.96579,17.11305,16.84412,16.391479999999998
20.18573,18.451529999999998,17.41914,16.90844,16.58999
18.76219,17.02018,16.19761,15.838729999999998,15.547239999999999
18.73959,16.95588,16.152520000000003,15.764489999999999,15.45798
20.61133,18.82473,17.54661,17.05451,16.70468
20.40864,18.36701,17.387729999999998,16.94933,16.59883
19.391460000000002,18.10758,17.386470000000003,16.980999999999998,16.76125
19.434839999999998,17.78912,17.10809,16.76312,16.43974
18.82011,17.12598,16.332179999999997,15.909679999999998,15.612620000000001
19.633010000000002,18.34415,17.44031,16.98576,16.69466
19.4329,18.146179999999998,17.732689999999998,17.41773,17.20545
